filename|transcription|normalized_transcription
wavs/line_0001|Good morning. How are you today?|Good morning. How are you today?
wavs/line_0002|I'll be back in about twenty minutes.|I'll be back in about twenty minutes.
wavs/line_0003|Could you please turn off the kitchen light?|Could you please turn off the kitchen light?
wavs/line_0004|The weather looks really good this afternoon.|The weather looks really good this afternoon.
wavs/line_0005|Let me know when you're ready to leave.|Let me know when you're ready to leave.
wavs/line_0006|I think we should head off a bit earlier to beat the traffic.|I think we should head off a bit earlier to beat the traffic.
wavs/line_0007|There's a good coffee shop just around the corner from here.|There's a good coffee shop just around the corner from here.
wavs/line_0008|I need to pick up a few things on the way home.|I need to pick up a few things on the way home.
wavs/line_0009|Have you had a chance to read that yet?|Have you had a chance to read that yet?
wavs/line_0010|Set a reminder for me at half past eight tomorrow morning.|Set a reminder for me at half past eight tomorrow morning.
wavs/line_0011|That's a great idea — let's go with that.|That's a great idea — let's go with that.
wavs/line_0012|I'm not sure exactly where I left my keys.|I'm not sure exactly where I left my keys.
wavs/line_0013|Can you play some music while I cook dinner?|Can you play some music while I cook dinner?
wavs/line_0014|It's a bit cold this evening — I might light the fire.|It's a bit cold this evening — I might light the fire.
wavs/line_0015|What time does the game start tonight?|What time does the game start tonight?
wavs/line_0016|I'll send you a message when I'm on my way.|I'll send you a message when I'm on my way.
wavs/line_0017|We should catch up properly sometime soon.|We should catch up properly sometime soon.
wavs/line_0018|That was one of the best meals I've had in a while.|That was one of the best meals I've had in a while.
wavs/line_0019|Just give me five minutes and I'll be right with you.|Just give me five minutes and I'll be right with you.
wavs/line_0020|I think it might rain later, so bring a jacket.|I think it might rain later, so bring a jacket.
wavs/line_0021|Sure, I can help with that.|Sure, I can help with that.
wavs/line_0022|I've set a timer for twenty minutes.|I've set a timer for twenty minutes.
wavs/line_0023|The current temperature is eighteen degrees.|The current temperature is eighteen degrees.
wavs/line_0024|Your next calendar event is at two o'clock this afternoon.|Your next calendar event is at two o'clock this afternoon.
wavs/line_0025|I didn't quite catch that — could you say it again?|I didn't quite catch that — could you say it again?
wavs/line_0026|Here's what I found for you.|Here's what I found for you.
wavs/line_0027|I'm not sure about that one — let me check.|I'm not sure about that one — let me check.
wavs/line_0028|Done. I've turned off the living room lights.|Done. I've turned off the living room lights.
